dcId,dcCity,shipCost,storeCost
2301,Brockton,0.0,0.0
6010,Bristol,0.0,0.0
7087,Union City,0.0,0.0
10025,New York,0.0,0.0
19143,Philadelphia,831324.1399999999,597800.0
21234,Parkville,0.0,0.0
27406,Greensboro,0.0,0.0
29445,Goose Creek,0.0,0.0
30044,Lawrenceville,477261.31,176300.0
32203,Jacksonville,0.0,0.0
35215,Birmingham,0.0,0.0
38109,Memphis,0.0,0.0
40601,Frankfort,0.0,0.0
44035,Akron,214439.23,188500.0
45401,Dayton,0.0,0.0
47906,West Lafayette,0.0,0.0
48180,Taylor,0.0,0.0
52001,Dubuque,0.0,0.0
53511,Beloit,0.0,0.0
60623,Chicago,185513.75,207900.0
63376,Saint Peters,0.0,0.0
74012,Broken Arrow,0.0,0.0
75221,Dallas,764221.15,195700.0
80126,Denver,509220.4700000001,143500.0
85032,Phoenix,120043.16999999995,94300.0
90201,Los Angeles,357078.04000000004,734600.0
94104,San Francisco,148095.64999999997,274500.0
97301,Salem,104906.95999999999,63900.0
